OID_,CID,name,POINT_X,POINT_Y,OID1
1,19,grspn1,-68.558300217999943,44.041709424000032,
2,19,grspn2,-68.556683489999955,44.041161134000049,
3,19,grspn3,-68.557236548999981,44.041508801000077,
4,19,grspn4,-68.556925135999961,44.040999353000075,
5,19,grspn5,-68.555584278999959,44.043703539000035,
6,19,grspn6,-68.558064663999971,44.040999329000044,
7,19,grspn7,-68.557678852999970,44.043018584000038,
8,19,grspn8,-68.556561079999938,44.041789520000066,
9,19,grspn9,-68.557427316999963,44.043116200000043,
10,19,grspn10,-68.557480048999935,44.044347569000081,
11,19,grspn11,-68.558946310999943,44.041759252000077,
12,19,grspn12,-68.557175918999974,44.044990148000068,
13,19,grspn13,-68.557797289999939,44.044626399000038,
14,19,grspn14,-68.556373394999980,44.042541059000030,
15,19,grspn15,-68.558088450999946,44.042855965000058,
16,19,grspn16,-68.558008462999965,44.042168464000042,
17,19,grspn17,-68.557944846999987,44.041702843000053,
18,19,grspn18,-68.559095586999945,44.041387160000056,
19,19,grspn19,-68.557290858999977,44.043857840000044,
20,19,grspn20,-68.557625264999956,44.044259928000031,
21,19,grspn21,-68.557140276999974,44.044254237000075,
22,19,grspn22,-68.555506447999960,44.042119656000068,
23,19,grspn23,-68.558640320999984,44.043539570000064,
24,19,grspn24,-68.556130305999943,44.041089993000071,
25,19,grspn25,-68.555748372999972,44.042240472000060,
26,19,grspn26,-68.557913195999959,44.041196058000025,
27,19,grspn27,-68.557055529999957,44.041896512000051,
28,19,grspn28,-68.557315526999957,44.040602493000051,
29,19,grspn29,-68.558358297999973,44.043215895000060,
30,19,grspn30,-68.555528831999936,44.043110959000046,
31,19,grspn31,-68.557681646999981,44.043840590000059,
32,19,grspn32,-68.557856989999948,44.041344573000060,
33,19,grspn33,-68.557567299999960,44.040828693000037,
34,19,grspn34,-68.555083609999940,44.043713390000050,
35,19,grspn35,-68.558705271999941,44.041028297000025,
36,19,grspn36,-68.555236887999968,44.042584807000026,
37,19,grspn37,-68.556875773999934,44.039942333000056,
38,19,grspn38,-68.559015071999966,44.040751018000037,
39,19,grspn39,-68.556366655999966,44.043096161000051,
40,19,grspn40,-68.555302878999953,44.042267677000041,
41,19,grspn41,-68.558557606999955,44.040442014000064,
42,19,grspn42,-68.556631531999983,44.044848764000051,
43,19,grspn43,-68.555470364999962,44.043603142000052,
44,19,grspn44,-68.557410249999975,44.042953615000044,
45,19,grspn45,-68.556878989999973,44.040273019000040,
46,19,grspn46,-68.556528380999964,44.042023149000045,
47,19,grspn47,-68.557150738999951,44.041603989000066,
48,19,grspn48,-68.558363679999957,44.041963417000034,
49,19,grspn49,-68.556242272999953,44.044612034000068,
50,19,grspn50,-68.555200173999935,44.042479875000026,
51,19,grspn51,-68.556577754999978,44.039797221000072,
52,19,grspn52,-68.558294812999975,44.042328670000074,
53,19,grspn53,-68.558949909999967,44.042375330000027,
54,19,grspn54,-68.557918252999968,44.040642918000060,
55,19,grspn55,-68.554645423999943,44.043022518000043,
56,19,grspn56,-68.557936619999964,44.044076592000067,
57,19,grspn57,-68.558738782999967,44.040428314000053,
58,19,grspn58,-68.558120544999952,44.043494999000075,
59,19,grspn59,-68.557237696999948,44.045267308000064,
60,19,grspn60,-68.556668970999965,44.044743000000040,
61,19,grspn61,-68.557599390999940,44.040435353000078,
62,19,grspn62,-68.557273664999968,44.039815418000046,
63,19,grspn63,-68.557854630999941,44.041557494000074,
64,19,grspn64,-68.554476593999937,44.042143924000072,
65,19,grspn65,-68.556046717999948,44.043808157000058,
66,19,grspn66,-68.557151372999954,44.044877664000069,
67,19,grspn67,-68.556354613999986,44.040251949000037,
68,19,grspn68,-68.557122978999985,44.044470548000049,
69,19,grspn69,-68.557899506999945,44.042870185000027,
70,19,grspn70,-68.557122163999964,44.043739727000059,
